id,npmi,cv
bills-labeled/mallet/4,0.04584720452886985,0.4853589810528346
bills-labeled/mallet/40,0.1088625891685976,0.62774124554011
bills-labeled/mallet/23,0.08220885712657812,0.5375121817834466
bills-labeled/mallet/12,0.03836048978780784,0.4032652109287706
bills-labeled/mallet/19,0.11855083028290567,0.6375334869239179
bills-labeled/mallet/44,0.07779532843841544,0.5580129956788025
bills-labeled/mallet/1,0.041055441227183034,0.4577162727344276
bills-labeled/mallet/17,0.04890549434227852,0.4584218741801538
bills-labeled/ctm/30,0.16350611202224685,0.6976294416616151
bills-labeled/ctm/3,0.11689286329935213,0.669219435469648
bills-labeled/ctm/18,0.09969623651760469,0.6633447833738279
bills-labeled/ctm/27,-0.06204366593146494,0.5368347721213255
bills-labeled/ctm/34,0.0928386696757245,0.667920182662786
bills-labeled/ctm/23,0.14889817113696813,0.7518162150806719
bills-labeled/ctm/28,0.14354493129923893,0.646857172394917
bills-labeled/ctm/11,0.15259849289365526,0.7309125558272443
bills-labeled/bertopic/40,0.13000506113902235,0.6515873006477926
bills-labeled/bertopic/1,-0.04227350277549931,0.38612453741619746
bills-labeled/bertopic/18,-0.02109961490102895,0.4646970048538078
bills-labeled/bertopic/31,0.07886238002027612,0.5090856660233163
bills-labeled/bertopic/3,0.18814217353200002,0.8302216898937292
bills-labeled/bertopic/27,0.0869659654896925,0.5071941011802259
bills-labeled/bertopic/13,0.14686732343957937,0.6932770824126745
bills-labeled/bertopic/19,0.003139933878488741,0.3950169296506962
